goodnight14,
goodnight14,Having a droopy day a little bit.
goodnight14,Not complaining, mind you.
goodnight14,I have nothing to complain about, thank God.
goodnight14,I’m just sleepy and can’t go to sleep because I need to go meet my grandsons’ bus shortly.
goodnight14,Which I love to do.
goodnight14,Maybe I just need some chocolate !
goodnight14,(smile) Hope your day is going well, too.
goodnight14,
goodnight42,
goodnight42,Wow, it is snowing here and it is SO pretty.
goodnight42,It reminds me of the verse that says though our sins be as scarlet, they shall be whiter than snow.
goodnight42,A comforting thought.
goodnight42,Part of the beautiful truth!
goodnight42,
goodnight32,
goodnight32,Thank You, God for Sundays.
goodnight32,A little bit of rest in the rush of the week.
goodnight32,Church is good and we look forward to going.
goodnight32,You are so good, God.
goodnight32,If I tried to list all your blessings, my computer would explode!
goodnight32,I love You, Jesus.
goodnight32,Not ashamed to publish it.
goodnight32,
goodnight41,
goodnight41,“Sunday morning very early, while my dad was sleeping, we would walk down to Your house without speaking.”
goodnight41,Anybody remember this song from Peter, Paul and Mary?
goodnight41,“All that I could say was, I believe in You.”     *****
goodnight41,
goodnight16,
goodnight16,I wrote about my grandson leaving his jacket on the school bus.
goodnight16,He is autistic and he had a meltdown about it.
goodnight16,But today he got the jacket back, so I am praising the good Lord, because that Spiderman jacket is really important to my grandson.
goodnight16,God is so good.
goodnight16,
goodnight19,
goodnight19,The trip to the mortuary was okay.
goodnight19,Nobody cried or teared up.
goodnight19,My mom is still so basically healthy that we could feel we won’t need a casket for years.
goodnight19,My sister actually told her “You’re going to live to be 100.”  Afterwards we went to Wendy’s for lunch.
goodnight19,Thank you to anyone who prayed.
goodnight19,It made it so easy.
goodnight19,
goodnight36,
goodnight36,I love this time of day.....twilight.
goodnight36,Soon I can go to bed and rest.
goodnight36,It’s been a wonderful day, but I am tired.
goodnight36,Ready for that soft pillow and warm blanket I have been so blessed with.
goodnight36,Yes, I do think of the homeless ones sometimes when I go to bed so safe and secure.
goodnight36,I pray for them.
goodnight36,When I had trouble with anorexia some years back, I didn’t dare think of the starving children in third world countries.
goodnight36,I would lose any scrap of appetite I had.
goodnight36,So I learned to help in whatever way I can, and then just be grateful.
goodnight36,I am so thankful for what I have—-a small home, a wonderful husband, a love of music, art and writing, a relationship with Jesus.
goodnight36,Life really is good.
goodnight36,If you let it be.
goodnight36,
goodnight47,
goodnight47,
goodnight47,This is my first book, written for a young adult audience.
goodnight47,It is about family and forgiveness.
goodnight47,It is very dramatic in places, and funny in other places.
goodnight47,If you would like a copy, write me at lynn.n.roberson@gmail.com.
goodnight47,The book is 12.00 plus s&h.
goodnight47,Thank you!
goodnight47,
goodnight2,
goodnight2,I worry that some of you still have not really met Jesus one-to-one—-you and Jesus alone.
goodnight2,We may spend time in chapel—but have you seen with the eyes of your soul how he looks at you with love?
goodnight2,Do you really know the living Jesus—not from the books but from being with him in your heart?
goodnight2,Have you heard the loving words he speaks to you?
goodnight2,Ask for the grace; he is longing to give it.
goodnight2,
goodnight13,
goodnight13,It really is possible to find peace after a devastated childhood.
goodnight13,God is my real Father, my good Father.
goodnight13,And He is always “there” for me.
goodnight13,He is the Healer.
goodnight13,
goodnight25,
goodnight25,I found  a tiny vase of daffodils—four
goodnight25,Just inside my kitchen door.
goodnight25,My mother put them there, I knew.
goodnight25,My mother, an angel of ninety-two.
goodnight25,One day the blossoms began to wilt,
goodnight25,They began to look like yellow silk.
goodnight25,And finally they turned paper-thin;
goodnight25,Just like my  mother’s aging skin.
goodnight25,Thank you, mother, for still being here.
goodnight25,And bringing little gifts of cheer.
goodnight25,
goodnight35,
goodnight35,That’s a Bible verse.
goodnight35,I helped out a bit when he needed money, and came by asking for work.
goodnight35,I over paid him, because his need seemed so great.
goodnight35,Since then he has come asking for more money.
goodnight35,I’m afraid I’m an easy touch, and don’t make wise decision.
goodnight35,We’re on limited income ourselves.
goodnight35,God, help me know the right things to do.
goodnight35,
goodnight30,
goodnight30,We need to know and remember that each person has a special light shining from their heart out into the world.
goodnight30,When you love someone, this light gets very bright.
goodnight30,It can be your parents, your boyfriend or girlfriend, your mate, your baby.....there are people everywhere who need the light only you can give.
goodnight30,Shine on!
goodnight30,
goodnight29,
goodnight29,Well....after all that about loving bedtime, I cannot sleep.
goodnight29,I went to bed but I am wide awake, so I got up to journal some more.
goodnight29,Someone out there needs an encouraging journal entry.
goodnight29,Romans 8:38  “For I am persuaded that neither death nor life, nor angels, nor principalities, nor height nor depth nor anything else in all creation will be able to separate us from the love of God in Christ Jesus our Lord.”  Put simply, Nothing can separate us from God’s love.
goodnight29,Nothing.
goodnight29,This is Jesus’s gift to us.  
goodnight29,
goodnight4,
goodnight4,On Sundays, whenever possible, my mom (age 92) and I go visit local nursing homes and I play hymns for them to sing.
goodnight4,I play “Old time favorites” like Love Lifted me, I’ll fly Away, I’ve got a Mansion, —-things you’ve probably never heard of.
goodnight4,Old hymns.
goodnight4,They like those best.
goodnight4,Today someone made announcement that Hazel died yesterday, a large black woman who loved to sing with us.
goodnight4,She had been too sick to join us for a long while.
goodnight4,But her favorite hymn was Jesus Loves Me, so we sang that in her honor.
goodnight4,That was my Sunday.
goodnight4,Besides that Matthew (age 14) lay in the floor at church using my jacket for a pillow and slept for about 45 minutes in church today.
goodnight4,(smile)  Life is good.
goodnight4,
goodnight8,
goodnight8,My hubby has a doctor appointment at 8:00 a.m. Thursday and my mom has a doctor appointment elsewhere at 8:30.
goodnight8,Same day.
goodnight8,I need to be with both of them.
goodnight8,It is so frustrating!
goodnight8,!
goodnight8,
goodnight33,
goodnight33,If any of you are feeling down, please try to get a copy of my book The Beautiful Truth by Lynn Roberson.
goodnight33,It’s available at Amazon.com and Kindle, also Barnes and Noble.
goodnight33,I promise it will lift you up.
goodnight33,It’s a pleasant read.
goodnight33,Enjoy!
goodnight33,and God bless you.
goodnight33, 
goodnight33, 
goodnight33,
goodnight27,
goodnight27,Started with our long ago Chiropractor—-a very excellent lady.
goodnight27,Hoping she will help us stay steady on our feet a couple more decades.
goodnight27,We went to her regularly  years ago, but just starting back again.
goodnight27,I need a nap.
goodnight27,[yawn]
goodnight27,
goodnight28,
goodnight28,It’s morning and that faithful little bird outside my window is chirping away.
goodnight28,It is worth waking up to hear him.
goodnight28,I wonder what Heaven is like?
goodnight28,I’m sure there will be birds singing.
goodnight28,
goodnight3,
goodnight3,I just realized this coming Sunday is Palm Sunday!
goodnight3,I have been racing around so much, it “snuck” up on me.
goodnight3,I’ll have to plan something pretty out of my closet for Easter Sunday.
goodnight3,I don’t buy new clothes for Easter.
goodnight3,I love Easter it is my favorite Christian Celebration Day!
goodnight3,
goodnight46,
goodnight46,I am excited to share my books with you, especially The Beautiful Truth.
goodnight46,God gave me the material to write about.
goodnight46,It’s all true.
